randomForest 4.6-10
Type rfNews() to see new features/changes/bug fixes.
[1] "Sample Size: 1600"
[1] "--- Error at 290 Trees: 0.074000"
[1] "--- Error at 173 Trees: 0.069250"
[1] "--- Error at 109 Trees: 0.086750"
[1] "--- Error at 94 Trees:  0.073000"
[1] "--- Error at 117 Trees: 0.085250"
[1] "Sample Size: 3200"
[1] "--- Error at 119 Trees: 0.058000"
[1] "--- Error at 113 Trees: 0.055000"
[1] "--- Error at 115 Trees: 0.064500"
[1] "--- Error at 96 Trees:  0.050250"
[1] "--- Error at 86 Trees:  0.063750"
[1] "Sample Size: 4800"
[1] "--- Error at 68 Trees:  0.051500"
[1] "--- Error at 82 Trees:  0.047250"
[1] "--- Error at 130 Trees: 0.051500"
[1] "--- Error at 65 Trees:  0.043000"
[1] "--- Error at 158 Trees: 0.051250"
[1] "Sample Size: 6400"
[1] "--- Error at 57 Trees: 0.046000"
[1] "--- Error at 82 Trees: 0.041000"
[1] "--- Error at 97 Trees: 0.045750"
[1] "--- Error at 90 Trees: 0.041000"
[1] "--- Error at 53 Trees: 0.045250"
[1] "Sample Size: 8000"
[1] "--- Error at 43 Trees: 0.044250"
[1] "--- Error at 39 Trees: 0.040500"
[1] "--- Error at 43 Trees: 0.045750"
[1] "--- Error at 55 Trees: 0.035500"
[1] "--- Error at 80 Trees: 0.041500"
[1] "Sample Size: 9600"
[1] "--- Error at 39 Trees: 0.041500"
[1] "--- Error at 45 Trees: 0.038500"
[1] "--- Error at 65 Trees: 0.040750"
[1] "--- Error at 43 Trees: 0.036250"
[1] "--- Error at 96 Trees: 0.036250"
[1] "Sample Size: 11200"
[1] "--- Error at 34 Trees: 0.038750"
[1] "--- Error at 39 Trees: 0.035750"
[1] "--- Error at 39 Trees: 0.041000"
[1] "--- Error at 55 Trees: 0.032750"
[1] "--- Error at 65 Trees: 0.036250"
[1] "Sample Size: 12800"
[1] "--- Error at 35 Trees: 0.038750"
[1] "--- Error at 32 Trees: 0.038250"
[1] "--- Error at 35 Trees: 0.043750"
[1] "--- Error at 47 Trees: 0.036250"
[1] "--- Error at 34 Trees: 0.037500"
[Finished in 1855.9s]
