randomForest 4.6-10
Type rfNews() to see new features/changes/bug fixes.
[1] "Sample Size: 2000"
[1] "Error at 500 Trees: 0.170000"
[1] "Error at 251 Trees: 0.170000"
[1] "Error at 126 Trees: 0.175000"
[1] "Error at 64 Trees:  0.185000"
[1] "Error at 95 Trees:  0.177500"
[1] "Error at 79 Trees:  0.187500"
[1] "Error at 87 Trees:  0.170000"
[1] "Error at 83 Trees:  0.167500"
[1] "Error at 81 Trees:  0.175000"
[1] "Error at 80 Trees:  0.177500"
[1] "Error at 500 Trees: 0.125000"
[1] "Error at 251 Trees: 0.125000"
[1] "Error at 126 Trees: 0.130000"
[1] "Error at 64 Trees:  0.142500"
[1] "Error at 95 Trees:  0.132500"
[1] "Error at 79 Trees:  0.122500"
[1] "Error at 71 Trees:  0.132500"
[1] "Error at 67 Trees:  0.115000"
[1] "Error at 65 Trees:  0.135000"
[1] "Error at 500 Trees: 0.142500"
[1] "Error at 251 Trees: 0.140000"
[1] "Error at 126 Trees: 0.147500"
[1] "Error at 64 Trees:  0.142500"
[1] "Error at 33 Trees:  0.162500"
[1] "Error at 48 Trees:  0.152500"
[1] "Error at 40 Trees:  0.150000"
[1] "Error at 36 Trees:  0.147500"
[1] "Error at 34 Trees:  0.152500"
[1] "Error at 500 Trees: 0.135000"
[1] "Error at 251 Trees: 0.145000"
[1] "Error at 126 Trees: 0.147500"
[1] "Error at 64 Trees:  0.147500"
[1] "Error at 33 Trees:  0.170000"
[1] "Error at 48 Trees:  0.155000"
[1] "Error at 56 Trees:  0.137500"
[1] "Error at 52 Trees:  0.157500"
[1] "Error at 54 Trees:  0.142500"
[1] "Error at 53 Trees:  0.157500"
[1] "Error at 500 Trees: 0.150000"
[1] "Error at 251 Trees: 0.152500"
[1] "Error at 126 Trees: 0.160000"
[1] "Error at 64 Trees:  0.160000"
[1] "Error at 33 Trees:  0.175000"
[1] "Error at 48 Trees:  0.140000"
[1] "Error at 40 Trees:  0.165000"
[1] "Error at 44 Trees:  0.167500"
[1] "Error at 46 Trees:  0.170000"
[1] "Error at 47 Trees:  0.152500"
[1] "Sample Size: 4000"
[1] "Error at 500 Trees: 0.090000"
[1] "Error at 251 Trees: 0.091250"
[1] "Error at 126 Trees: 0.098750"
[1] "Error at 64 Trees:  0.100000"
[1] "Error at 33 Trees:  0.091250"
[1] "Error at 17 Trees:  0.138750"
[1] "Error at 25 Trees:  0.126250"
[1] "Error at 29 Trees:  0.112500"
[1] "Error at 31 Trees:  0.105000"
[1] "Error at 32 Trees:  0.113750"
[1] "Error at 500 Trees: 0.106250"
[1] "Error at 251 Trees: 0.098750"
[1] "Error at 126 Trees: 0.105000"
[1] "Error at 64 Trees:  0.122500"
[1] "Error at 95 Trees:  0.102500"
[1] "Error at 79 Trees:  0.108750"
[1] "Error at 71 Trees:  0.113750"
[1] "Error at 67 Trees:  0.115000"
[1] "Error at 65 Trees:  0.112500"
[1] "Error at 500 Trees: 0.091250"
[1] "Error at 251 Trees: 0.088750"
[1] "Error at 126 Trees: 0.095000"
[1] "Error at 64 Trees:  0.096250"
[1] "Error at 33 Trees:  0.105000"
[1] "Error at 17 Trees:  0.126250"
[1] "Error at 25 Trees:  0.115000"
[1] "Error at 29 Trees:  0.115000"
[1] "Error at 31 Trees:  0.096250"
[1] "Error at 30 Trees:  0.107500"
[1] "Error at 500 Trees: 0.105000"
[1] "Error at 251 Trees: 0.108750"
[1] "Error at 126 Trees: 0.106250"
[1] "Error at 64 Trees:  0.113750"
[1] "Error at 33 Trees:  0.118750"
[1] "Error at 17 Trees:  0.133750"
[1] "Error at 25 Trees:  0.115000"
[1] "Error at 21 Trees:  0.111250"
[1] "Error at 19 Trees:  0.121250"
[1] "Error at 20 Trees:  0.130000"
[1] "Error at 500 Trees: 0.103750"
[1] "Error at 251 Trees: 0.111250"
[1] "Error at 126 Trees: 0.108750"
[1] "Error at 64 Trees:  0.106250"
[1] "Error at 33 Trees:  0.127500"
[1] "Error at 48 Trees:  0.123750"
[1] "Error at 56 Trees:  0.117500"
[1] "Error at 52 Trees:  0.111250"
[1] "Error at 50 Trees:  0.116250"
[1] "Error at 49 Trees:  0.112500"
[1] "Sample Size: 6000"
[1] "Error at 500 Trees: 0.088333"
[1] "Error at 251 Trees: 0.092500"
[1] "Error at 126 Trees: 0.090833"
[1] "Error at 64 Trees:  0.083333"
[1] "Error at 33 Trees:  0.099167"
[1] "Error at 48 Trees:  0.092500"
[1] "Error at 40 Trees:  0.097500"
[1] "Error at 44 Trees:  0.095000"
[1] "Error at 46 Trees:  0.089167"
[1] "Error at 45 Trees:  0.093333"
[1] "Error at 500 Trees: 0.076667"
[1] "Error at 251 Trees: 0.073333"
[1] "Error at 126 Trees: 0.070000"
[1] "Error at 64 Trees:  0.077500"
[1] "Error at 33 Trees:  0.085833"
[1] "Error at 48 Trees:  0.082500"
[1] "Error at 56 Trees:  0.085833"
[1] "Error at 60 Trees:  0.080833"
[1] "Error at 58 Trees:  0.081667"
[1] "Error at 59 Trees:  0.080000"
[1] "Error at 500 Trees: 0.076667"
[1] "Error at 251 Trees: 0.080000"
[1] "Error at 126 Trees: 0.080833"
[1] "Error at 64 Trees:  0.095000"
[1] "Error at 95 Trees:  0.093333"
[1] "Error at 110 Trees: 0.086667"
[1] "Error at 118 Trees: 0.087500"
[1] "Error at 122 Trees: 0.083333"
[1] "Error at 124 Trees: 0.090833"
[1] "Error at 125 Trees: 0.084167"
[1] "Error at 500 Trees: 0.068333"
[1] "Error at 251 Trees: 0.072500"
[1] "Error at 126 Trees: 0.073333"
[1] "Error at 188 Trees: 0.075000"
[1] "Error at 219 Trees: 0.065833"
[1] "Error at 203 Trees: 0.070000"
[1] "Error at 195 Trees: 0.069167"
[1] "Error at 191 Trees: 0.071667"
[1] "Error at 189 Trees: 0.077500"
[1] "Error at 190 Trees: 0.065833"
[1] "Error at 500 Trees: 0.085833"
[1] "Error at 251 Trees: 0.084167"
[1] "Error at 126 Trees: 0.091667"
[1] "Error at 188 Trees: 0.088333"
[1] "Error at 157 Trees: 0.085000"
[1] "Error at 141 Trees: 0.091667"
[1] "Error at 149 Trees: 0.093333"
[1] "Error at 153 Trees: 0.084167"
[1] "Error at 151 Trees: 0.081667"
[1] "Error at 150 Trees: 0.087500"
[1] "Sample Size: 8000"
[1] "Error at 500 Trees: 0.067500"
[1] "Error at 251 Trees: 0.069375"
[1] "Error at 126 Trees: 0.074375"
[1] "Error at 188 Trees: 0.066875"
[1] "Error at 157 Trees: 0.067500"
[1] "Error at 141 Trees: 0.067500"
[1] "Error at 133 Trees: 0.069375"
[1] "Error at 129 Trees: 0.072500"
[1] "Error at 131 Trees: 0.067500"
[1] "Error at 130 Trees: 0.068750"
[1] "Error at 500 Trees: 0.067500"
[1] "Error at 251 Trees: 0.063750"
[1] "Error at 126 Trees: 0.068750"
[1] "Error at 64 Trees:  0.073750"
[1] "Error at 95 Trees:  0.063750"
[1] "Error at 79 Trees:  0.068750"
[1] "Error at 71 Trees:  0.069375"
[1] "Error at 67 Trees:  0.071875"
[1] "Error at 65 Trees:  0.070625"
[1] "Error at 500 Trees: 0.058750"
[1] "Error at 251 Trees: 0.057500"
[1] "Error at 126 Trees: 0.063125"
[1] "Error at 64 Trees:  0.064375"
[1] "Error at 95 Trees:  0.065625"
[1] "Error at 110 Trees: 0.062500"
[1] "Error at 102 Trees: 0.064375"
[1] "Error at 106 Trees: 0.066875"
[1] "Error at 108 Trees: 0.057500"
[1] "Error at 107 Trees: 0.067500"
[1] "Error at 500 Trees: 0.073125"
[1] "Error at 251 Trees: 0.072500"
[1] "Error at 126 Trees: 0.073750"
[1] "Error at 64 Trees:  0.070625"
[1] "Error at 33 Trees:  0.080625"
[1] "Error at 48 Trees:  0.076875"
[1] "Error at 40 Trees:  0.081875"
[1] "Error at 44 Trees:  0.081250"
[1] "Error at 46 Trees:  0.073750"
[1] "Error at 45 Trees:  0.081250"
[1] "Error at 500 Trees: 0.058750"
[1] "Error at 251 Trees: 0.059375"
[1] "Error at 126 Trees: 0.061250"
[1] "Error at 64 Trees:  0.064375"
[1] "Error at 95 Trees:  0.063125"
[1] "Error at 79 Trees:  0.058750"
[1] "Error at 71 Trees:  0.065625"
[1] "Error at 75 Trees:  0.066875"
[1] "Error at 77 Trees:  0.060000"
[1] "Error at 76 Trees:  0.059375"
[1] "Sample Size: 10000"
[1] "Error at 500 Trees: 0.061000"
[1] "Error at 251 Trees: 0.058500"
[1] "Error at 126 Trees: 0.058000"
[1] "Error at 64 Trees:  0.057500"
[1] "Error at 33 Trees:  0.071500"
[1] "Error at 48 Trees:  0.067000"
[1] "Error at 56 Trees:  0.065000"
[1] "Error at 52 Trees:  0.061000"
[1] "Error at 50 Trees:  0.067000"
[1] "Error at 51 Trees:  0.067000"
[1] "Error at 500 Trees: 0.059500"
[1] "Error at 251 Trees: 0.061000"
[1] "Error at 126 Trees: 0.061500"
[1] "Error at 64 Trees:  0.066500"
[1] "Error at 95 Trees:  0.064000"
[1] "Error at 79 Trees:  0.065500"
[1] "Error at 87 Trees:  0.061000"
[1] "Error at 83 Trees:  0.066500"
[1] "Error at 85 Trees:  0.064500"
[1] "Error at 86 Trees:  0.064500"
[1] "Error at 500 Trees: 0.051000"
[1] "Error at 251 Trees: 0.051500"
[1] "Error at 126 Trees: 0.056000"
[1] "Error at 188 Trees: 0.054500"
[1] "Error at 157 Trees: 0.053500"
[1] "Error at 141 Trees: 0.054000"
[1] "Error at 133 Trees: 0.054500"
[1] "Error at 129 Trees: 0.054500"
[1] "Error at 127 Trees: 0.057500"
[1] "Error at 128 Trees: 0.055500"
[1] "Error at 500 Trees: 0.050000"
[1] "Error at 251 Trees: 0.047000"
[1] "Error at 126 Trees: 0.052500"
[1] "Error at 64 Trees:  0.052000"
[1] "Error at 33 Trees:  0.058000"
[1] "Error at 48 Trees:  0.056000"
[1] "Error at 56 Trees:  0.056500"
[1] "Error at 60 Trees:  0.051000"
[1] "Error at 58 Trees:  0.056000"
[1] "Error at 59 Trees:  0.055000"
[1] "Error at 500 Trees: 0.058000"
[1] "Error at 251 Trees: 0.062000"
[1] "Error at 126 Trees: 0.060000"
[1] "Error at 64 Trees:  0.070500"
[1] "Error at 95 Trees:  0.066000"
[1] "Error at 110 Trees: 0.065000"
[1] "Error at 118 Trees: 0.060500"
[1] "Error at 114 Trees: 0.062500"
[1] "Error at 112 Trees: 0.063500"
[1] "Error at 113 Trees: 0.064000"
[1] "Sample Size: 12000"
[1] "Error at 500 Trees: 0.048333"
[1] "Error at 251 Trees: 0.049583"
[1] "Error at 126 Trees: 0.050833"
[1] "Error at 64 Trees:  0.058750"
[1] "Error at 95 Trees:  0.051667"
[1] "Error at 79 Trees:  0.055000"
[1] "Error at 87 Trees:  0.053750"
[1] "Error at 91 Trees:  0.048333"
[1] "Error at 89 Trees:  0.051250"
[1] "Error at 88 Trees:  0.048750"
[1] "Error at 500 Trees: 0.051250"
[1] "Error at 251 Trees: 0.053333"
[1] "Error at 126 Trees: 0.048333"
[1] "Error at 64 Trees:  0.056667"
[1] "Error at 95 Trees:  0.055000"
[1] "Error at 79 Trees:  0.053750"
[1] "Error at 71 Trees:  0.054583"
[1] "Error at 67 Trees:  0.049583"
[1] "Error at 65 Trees:  0.055417"
[1] "Error at 500 Trees: 0.055833"
[1] "Error at 251 Trees: 0.053333"
[1] "Error at 126 Trees: 0.052917"
[1] "Error at 64 Trees:  0.058750"
[1] "Error at 33 Trees:  0.062500"
[1] "Error at 48 Trees:  0.055417"
[1] "Error at 40 Trees:  0.056667"
[1] "Error at 36 Trees:  0.061667"
[1] "Error at 38 Trees:  0.059583"
[1] "Error at 37 Trees:  0.054583"
[1] "Error at 500 Trees: 0.037083"
[1] "Error at 251 Trees: 0.041667"
[1] "Error at 126 Trees: 0.043333"
[1] "Error at 188 Trees: 0.040417"
[1] "Error at 157 Trees: 0.041667"
[1] "Error at 141 Trees: 0.042500"
[1] "Error at 149 Trees: 0.040833"
[1] "Error at 145 Trees: 0.043333"
[1] "Error at 147 Trees: 0.043750"
[1] "Error at 148 Trees: 0.042083"
[1] "Error at 500 Trees: 0.050417"
[1] "Error at 251 Trees: 0.052917"
[1] "Error at 126 Trees: 0.052500"
[1] "Error at 64 Trees:  0.057917"
[1] "Error at 95 Trees:  0.055000"
[1] "Error at 79 Trees:  0.054167"
[1] "Error at 71 Trees:  0.053750"
[1] "Error at 67 Trees:  0.055417"
[1] "Error at 69 Trees:  0.055000"
[1] "Error at 68 Trees:  0.057083"
[1] "Sample Size: 14000"
[1] "Error at 500 Trees: 0.039286"
[1] "Error at 251 Trees: 0.042500"
[1] "Error at 126 Trees: 0.040714"
[1] "Error at 64 Trees:  0.045000"
[1] "Error at 95 Trees:  0.042500"
[1] "Error at 79 Trees:  0.044286"
[1] "Error at 87 Trees:  0.040357"
[1] "Error at 83 Trees:  0.040714"
[1] "Error at 81 Trees:  0.041429"
[1] "Error at 80 Trees:  0.044643"
[1] "Error at 500 Trees: 0.040000"
[1] "Error at 251 Trees: 0.042857"
[1] "Error at 126 Trees: 0.041429"
[1] "Error at 64 Trees:  0.046429"
[1] "Error at 95 Trees:  0.045000"
[1] "Error at 110 Trees: 0.039643"
[1] "Error at 102 Trees: 0.047500"
[1] "Error at 106 Trees: 0.044643"
[1] "Error at 104 Trees: 0.045000"
[1] "Error at 105 Trees: 0.042143"
[1] "Error at 500 Trees: 0.050357"
[1] "Error at 251 Trees: 0.048214"
[1] "Error at 126 Trees: 0.050000"
[1] "Error at 64 Trees:  0.052500"
[1] "Error at 33 Trees:  0.061429"
[1] "Error at 48 Trees:  0.058929"
[1] "Error at 56 Trees:  0.054643"
[1] "Error at 52 Trees:  0.054643"
[1] "Error at 50 Trees:  0.059643"
[1] "Error at 51 Trees:  0.057500"
[1] "Error at 500 Trees: 0.048214"
[1] "Error at 251 Trees: 0.047500"
[1] "Error at 126 Trees: 0.046429"
[1] "Error at 64 Trees:  0.048214"
[1] "Error at 33 Trees:  0.060714"
[1] "Error at 48 Trees:  0.051786"
[1] "Error at 40 Trees:  0.052500"
[1] "Error at 36 Trees:  0.057143"
[1] "Error at 38 Trees:  0.055714"
[1] "Error at 39 Trees:  0.052500"
[1] "Error at 500 Trees: 0.045000"
[1] "Error at 251 Trees: 0.042143"
[1] "Error at 126 Trees: 0.043214"
[1] "Error at 64 Trees:  0.047143"
[1] "Error at 33 Trees:  0.058929"
[1] "Error at 48 Trees:  0.046429"
[1] "Error at 40 Trees:  0.052857"
[1] "Error at 44 Trees:  0.052857"
[1] "Error at 46 Trees:  0.047857"
[1] "Error at 45 Trees:  0.048571"
[1] "Sample Size: 16000"
[1] "Error at 500 Trees: 0.043438"
[1] "Error at 251 Trees: 0.042500"
[1] "Error at 126 Trees: 0.044063"
[1] "Error at 64 Trees:  0.049063"
[1] "Error at 95 Trees:  0.044375"
[1] "Error at 79 Trees:  0.048438"
[1] "Error at 87 Trees:  0.045312"
[1] "Error at 83 Trees:  0.048125"
[1] "Error at 81 Trees:  0.042188"
[1] "Error at 80 Trees:  0.046250"
[1] "Error at 500 Trees: 0.048438"
[1] "Error at 251 Trees: 0.047813"
[1] "Error at 126 Trees: 0.044375"
[1] "Error at 64 Trees:  0.049375"
[1] "Error at 33 Trees:  0.056562"
[1] "Error at 48 Trees:  0.053125"
[1] "Error at 40 Trees:  0.052813"
[1] "Error at 36 Trees:  0.059375"
[1] "Error at 38 Trees:  0.050000"
[1] "Error at 37 Trees:  0.048438"
[1] "Error at 500 Trees: 0.047500"
[1] "Error at 251 Trees: 0.044063"
[1] "Error at 126 Trees: 0.048438"
[1] "Error at 64 Trees:  0.051875"
[1] "Error at 33 Trees:  0.053125"
[1] "Error at 48 Trees:  0.051562"
[1] "Error at 40 Trees:  0.049375"
[1] "Error at 36 Trees:  0.051250"
[1] "Error at 34 Trees:  0.056875"
[1] "Error at 35 Trees:  0.051562"
[1] "Error at 500 Trees: 0.039687"
[1] "Error at 251 Trees: 0.040625"
[1] "Error at 126 Trees: 0.044063"
[1] "Error at 64 Trees:  0.043750"
[1] "Error at 33 Trees:  0.050312"
[1] "Error at 48 Trees:  0.043750"
[1] "Error at 40 Trees:  0.048750"
[1] "Error at 44 Trees:  0.050312"
[1] "Error at 46 Trees:  0.047188"
[1] "Error at 47 Trees:  0.044063"
[1] "Error at 500 Trees: 0.038438"
[1] "Error at 251 Trees: 0.038438"
[1] "Error at 126 Trees: 0.040000"
[1] "Error at 64 Trees:  0.042500"
[1] "Error at 33 Trees:  0.049687"
[1] "Error at 48 Trees:  0.044063"
[1] "Error at 56 Trees:  0.043438"
[1] "Error at 60 Trees:  0.048438"
[1] "Error at 62 Trees:  0.045000"
[1] "Error at 63 Trees:  0.041250"
[Finished in 1078.7s]
